pair,fname,frame,rawLocX,rawLocY,icFullFrameX,icFullFrameY,Count,color,fname,frame,rawLocX,rawLocY,icFullFrameX,icFullFrameY,Count,color
25,JNCE_2016026_00C00058_V01.IMG.gz,64,1349.0176766980635,24373.500000648633,664.5000006486326,1349.0176766980635,2,2,JNCE_2016026_00C00058_V01.IMG.gz,65,1348.5000497035594,24671.5,551.5,1348.5000497035594,1,3
26,JNCE_2016026_00C00058_V01.IMG.gz,75,853.4999734543318,28766.983651677707,860.9836516777078,853.4999734543318,2,1,JNCE_2016026_00C00058_V01.IMG.gz,77,853.0677744167124,29330.4999995222,629.4999995221989,853.0677744167124,2,2
27,JNCE_2016026_00C00058_V01.IMG.gz,75,853.4999734543318,28766.983651677707,860.9836516777078,853.4999734543318,2,1,JNCE_2016026_00C00058_V01.IMG.gz,78,852.693860036058,29626.499998167896,514.4999981678956,852.693860036058,2,3
28,JNCE_2016026_00C00058_V01.IMG.gz,77,853.0677744167124,29330.4999995222,629.4999995221989,853.0677744167124,2,2,JNCE_2016026_00C00058_V01.IMG.gz,78,852.693860036058,29626.499998167896,514.4999981678956,852.693860036058,2,3
29,JNCE_2016026_00C00059_V01.IMG.gz,7,1063.5000046876646,2586.086794903462,792.0867949034616,1063.5000046876646,2,1,JNCE_2016026_00C00059_V01.IMG.gz,8,1062.007466887718,2881.8603440398747,676.8603440398748,1062.007466887718,4,2
30,JNCE_2016026_00C00059_V01.IMG.gz,7,1063.5000046876646,2586.086794903462,792.0867949034616,1063.5000046876646,2,1,JNCE_2016026_00C00059_V01.IMG.gz,9,1061.4999631116505,3178.3193972752592,562.3193972752593,1061.4999631116505,2,3
31,JNCE_2016026_00C00059_V01.IMG.gz,8,1062.007466887718,2881.8603440398747,676.8603440398748,1062.007466887718,4,2,JNCE_2016026_00C00059_V01.IMG.gz,9,1061.4999631116505,3178.3193972752592,562.3193972752593,1061.4999631116505,2,3
32,JNCE_2016026_00C00059_V01.IMG.gz,9,492.4999847622813,3368.49999958817,806.4999995881698,492.4999847622813,1,1,JNCE_2016026_00C00059_V01.IMG.gz,10,494.50000431412855,3664.1218620800014,691.1218620800013,494.50000431412855,2,2
33,JNCE_2016026_00C00059_V01.IMG.gz,9,492.4999847622813,3368.49999958817,806.4999995881698,492.4999847622813,1,1,JNCE_2016026_00C00059_V01.IMG.gz,11,494.49999346003756,3960.5000025153704,576.5000025153702,494.49999346003756,1,3
34,JNCE_2016026_00C00059_V01.IMG.gz,9,492.4999847622813,3368.49999958817,806.4999995881698,492.4999847622813,1,1,JNCE_2016026_00C00059_V01.IMG.gz,12,493.5000017678163,4230.499999873728,462.4999998737274,493.5000017678163,1,3
35,JNCE_2016026_00C00059_V01.IMG.gz,10,494.50000431412855,3664.1218620800014,691.1218620800013,494.50000431412855,2,2,JNCE_2016026_00C00059_V01.IMG.gz,11,494.49999346003756,3960.5000025153704,576.5000025153702,494.49999346003756,1,3
36,JNCE_2016026_00C00059_V01.IMG.gz,10,494.50000431412855,3664.1218620800014,691.1218620800013,494.50000431412855,2,2,JNCE_2016026_00C00059_V01.IMG.gz,12,493.5000017678163,4230.499999873728,462.4999998737274,493.5000017678163,1,3
37,JNCE_2016026_00C00059_V01.IMG.gz,11,494.49999346003756,3960.5000025153704,576.5000025153702,494.49999346003756,1,3,JNCE_2016026_00C00059_V01.IMG.gz,12,493.5000017678163,4230.499999873728,462.4999998737274,493.5000017678163,1,3
38,JNCE_2016026_00C00059_V01.IMG.gz,12,1471.500027620832,4500.49999899299,786.4999989929905,1471.500027620832,1,1,JNCE_2016026_00C00059_V01.IMG.gz,13,1467.500001665463,4797.5000008327315,672.5000008327315,1467.500001665463,1,2
39,JNCE_2016026_00C00059_V01.IMG.gz,12,1471.500027620832,4500.49999899299,786.4999989929905,1471.500027620832,1,1,JNCE_2016026_00C00059_V01.IMG.gz,14,1466.4999941018016,5096.500004171897,560.5000041718965,1466.4999941018016,1,3
40,JNCE_2016026_00C00059_V01.IMG.gz,13,1467.500001665463,4797.5000008327315,672.5000008327315,1467.500001665463,1,2,JNCE_2016026_00C00059_V01.IMG.gz,14,1466.4999941018016,5096.500004171897,560.5000041718965,1466.4999941018016,1,3
41,JNCE_2016026_00C00059_V01.IMG.gz,15,275.50000299699656,5663.287703290251,797.2877032902509,275.50000299699656,2,1,JNCE_2016026_00C00059_V01.IMG.gz,16,278.5000141526425,5960.499997661737,683.4999976617373,278.5000141526425,1,2
42,JNCE_2016026_00C00059_V01.IMG.gz,42,671.4999924482368,16095.902622255377,861.9026222553765,671.4999924482368,2,1,JNCE_2016026_00C00059_V01.IMG.gz,44,672.4999884620503,16659.499998974403,630.4999989744044,672.4999884620503,1,2
43,JNCE_2016026_00C00059_V01.IMG.gz,42,671.4999924482368,16095.902622255377,861.9026222553765,671.4999924482368,2,1,JNCE_2016026_00C00059_V01.IMG.gz,45,672.5000043810651,16955.49999896916,515.4999989691612,672.5000043810651,1,3
44,JNCE_2016026_00C00059_V01.IMG.gz,44,672.4999884620503,16659.499998974403,630.4999989744044,672.4999884620503,1,2,JNCE_2016026_00C00059_V01.IMG.gz,45,672.5000043810651,16955.49999896916,515.4999989691612,672.5000043810651,1,3
45,JNCE_2016026_00C00059_V01.IMG.gz,67,1354.4999524901539,25666.307782780852,832.3077827808505,1354.4999524901539,2,1,JNCE_2016026_00C00059_V01.IMG.gz,68,1350.5000368318092,25962.87160899887,717.8716089988684,1350.5000368318092,2,2
46,JNCE_2016026_00C00059_V01.IMG.gz,67,1354.4999524901539,25666.307782780852,832.3077827808505,1354.4999524901539,2,1,JNCE_2016026_00C00059_V01.IMG.gz,70,1349.5000065922898,26531.50000030662,491.5000003066181,1349.5000065922898,1,3
47,JNCE_2016026_00C00059_V01.IMG.gz,68,1350.5000368318092,25962.87160899887,717.8716089988684,1350.5000368318092,2,2,JNCE_2016026_00C00059_V01.IMG.gz,70,1349.5000065922898,26531.50000030662,491.5000003066181,1349.5000065922898,1,3
48,JNCE_2016026_00C00059_V01.IMG.gz,80,853.5000420483977,30625.161866808696,799.1618668086968,853.5000420483977,2,1,JNCE_2016026_00C00059_V01.IMG.gz,1,852.500020493552,106.49999908237827,562.4999990823783,852.500020493552,1,3
49,JNCE_2016026_00C00059_V01.IMG.gz,80,853.5000420483977,30625.161866808696,799.1618668086968,853.5000420483977,2,1,JNCE_2016026_00C00059_V01.IMG.gz,81,853.4999681927245,30920.499999162967,683.4999991629664,853.4999681927245,1,2
50,JNCE_2016026_00C00059_V01.IMG.gz,80,853.5000420483977,30625.161866808696,799.1618668086968,853.5000420483977,2,1,JNCE_2016026_00C00059_V01.IMG.gz,82,852.5000144679663,31216.50000202822,568.5000020282196,852.5000144679663,1,3
51,JNCE_2016026_00C00059_V01.IMG.gz,81,853.4999681927245,30920.499999162967,683.4999991629664,853.4999681927245,1,2,JNCE_2016026_00C00059_V01.IMG.gz,1,852.500020493552,106.49999908237827,562.4999990823783,852.500020493552,1,3
52,JNCE_2016026_00C00059_V01.IMG.gz,81,853.4999681927245,30920.499999162967,683.4999991629664,853.4999681927245,1,2,JNCE_2016026_00C00059_V01.IMG.gz,82,852.5000144679663,31216.50000202822,568.5000020282196,852.5000144679663,1,3
53,JNCE_2016026_00C00059_V01.IMG.gz,82,852.5000144679663,31216.50000202822,568.5000020282196,852.5000144679663,1,3,JNCE_2016026_00C00059_V01.IMG.gz,1,852.500020493552,106.49999908237827,562.4999990823783,852.500020493552,1,3
54,JNCE_2016026_00C00060_V01.IMG.gz,3,853.4999997076854,1059.3407218844663,801.3407218844662,853.4999997076854,2,1,JNCE_2016026_00C00060_V01.IMG.gz,4,853.3907936924065,1354.638101124732,685.638101124732,853.3907936924065,3,2
55,JNCE_2016026_00C00060_V01.IMG.gz,3,853.4999997076854,1059.3407218844663,801.3407218844662,853.4999997076854,2,1,JNCE_2016026_00C00060_V01.IMG.gz,5,852.5000178576795,1650.4999995644469,570.4999995644469,852.5000178576795,1,3
56,JNCE_2016026_00C00060_V01.IMG.gz,4,853.3907936924065,1354.638101124732,685.638101124732,853.3907936924065,3,2,JNCE_2016026_00C00060_V01.IMG.gz,5,852.5000178576795,1650.4999995644469,570.4999995644469,852.5000178576795,1,3
57,JNCE_2016026_00C00060_V01.IMG.gz,11,1063.6397513890984,4129.940384417701,799.9403844177016,1063.6397513890984,4,1,JNCE_2016026_00C00060_V01.IMG.gz,12,1062.2561041964507,4425.62504783205,684.6250478320502,1062.2561041964507,3,2
58,JNCE_2016026_00C00060_V01.IMG.gz,11,1063.6397513890984,4129.940384417701,799.9403844177016,1063.6397513890984,4,1,JNCE_2016026_00C00060_V01.IMG.gz,13,1061.499979507623,4722.075862739155,570.0758627391547,1061.499979507623,2,3
59,JNCE_2016026_00C00060_V01.IMG.gz,12,1062.2561041964507,4425.62504783205,684.6250478320502,1062.2561041964507,3,2,JNCE_2016026_00C00060_V01.IMG.gz,13,1061.499979507623,4722.075862739155,570.0758627391547,1061.499979507623,2,3
60,JNCE_2016026_00C00060_V01.IMG.gz,13,492.4999926038819,4912.104410448272,814.1044104482713,492.4999926038819,2,1,JNCE_2016026_00C00060_V01.IMG.gz,14,494.49998996477393,5207.7601517606045,698.7601517606045,494.49998996477393,2,2
61,JNCE_2016026_00C00060_V01.IMG.gz,13,492.4999926038819,4912.104410448272,814.1044104482713,492.4999926038819,2,1,JNCE_2016026_00C00060_V01.IMG.gz,16,493.5000128527915,5774.500000156741,470.50000015674135,493.5000128527915,1,3
